"Enable Product Label","Enable Product Label"
"Name","Name"
"Identifier","Identifier"
"Attribute","Attribute"
"Attributes","Attributes"
"Option","Option"
"Logo Image","Logo Image"
"Image location in listing mode","Image location in listing mode"
"Location of the image on product view","Location of the image on product view"
"Display on","Display on"
"New Product Label","New Product Label"
"Edit Product Label","Edit Product Label"
"This product label does not exist.","This product label does not exist."
"The product label ""%1"" has been deleted.","The product label ""%1"" has been deleted."
"Edit product label #%1","Edit product label #%1"
"New product label","New product label"
"Please select product labels.","Please select product labels."
"Total of %1 ProductLabel(s) were deleted.","Total of %1 ProductLabel(s) were deleted."
"The product label has been saved.","The product label has been saved."
"Something went wrong while saving the product label. ""%1""","Something went wrong while saving the product label. ""%1"""
"Alternative text for this label","Alternative text for this label"
"All Store Views","All Store Views"
"Store View","Store View"
